TEXTOS,y
@inesvicente Sabes q as pessoas do crossfit sofrem bullying,1
@GxCuchi olha o bullying sua corna,1
"@lala_altoe Sim kkkkkkk hoje o bullying foi maior, quero ver amanhã",1
@gabrezao eu vou excluir do bullying que to sofrendo,1
"@riquesto @fariasscarol Tem q dar porrada nesses muleke rapaz, se o bullying ainda existisse isso não teria acontecido #voltabullying",1
"O nível de dodói na cabeça do ser humano é :
""ah ela não concorda comigo? Tá criticando algo ou alguém que eu gosto? Já a odeio e vou juntar a minha panelinha! vamos ignorar aquela otaria no grupo até ela sair."" é o mesmo ser humano que critica o bullying... Parabéns em",1
"a minha terapeuta disse que eu posso ter adoecido semana passada por conta do assunto do bullying que me abri com ela, nossa velho pior que eu acho também",1
@Xotaveee vc tb mora no meu mas vc só faz bullying com a minha pessoa (e eu acho que eu que era a namorada reserva),1
"@emmawfrost usei por 5 anos 
fixo
movel
freio de cavalo... sim sofri bullying",1
"@ellenbeatrizss o bullying que a minha melhor amiga faz comigo, é surreal",1
@Gabii_guedesr @bilcarone @dib_castro Para com bullying,1
"@96CUTEDEVIL Aconteceu muito bullying, feriu meu kokoro.",1
@kidrichtony nossa senhora não aguento mais sofrer bullying por usar o twitter no modo MAIS BONITO QJE TEM,1
@fershibe o que tá construindo meu caráter é todo esse tratamento pra traumas derivados do bullying. O bullying só me deu ansiedade e depressão mesmo.,1
para de fazer bullying com a minha tag,1
"RT @idolsmypride: puta merda, que óculos feio. o bullying é inevitável #AsAventurasDePoliana316",1
A menininha me mandando abrir os olhos sendo que já estavam abertos... Sofri bullying de uma menina de 4 anos kkks,1
@tearliar vc só faz bullying cmg cansei,1
o bullying cmg é REAL!,1
"“Jashdijesj respondeu à tua história: 😂😂😂 amanhã já vais ficar sem para-choques” 
Nem no último dia me safo do bullying",1
"@khordofon é a galera que fala que “foi pouco bullying”
eles sabem que teve (e ainda tem)
eles só não ligaram e são sádicos e acham legal mesmo",1
"Eu juro como eu tento parar o meu bullying com coach, mas n dá",1
"#HeartsForSofya passou por tudo que passou, sofreu bullying da professora de dança e mesmo assim não desistiu, ela eh uma guerreira, um anjo na terra que merecia o mundo todinho só pra ela, nunca vou entender como alguém consegue jogar hate nesse nenê",1
"a pronto
quem ensinou o jeongin a fazer bullying comigo?",1
minha irmã parece a minha tartaruga como isso é possível,1
O bullying meu pai,1
eu sofro bullying até na minha própria casa,1
"""[...] por exemplo, a CryBaby da Melanie pode levitar e usou suas tranças para estrangular uma garota má que praticava bullying com ela em um incidente no recreio""

Já sabemos pq a CryBaby foi pra detenção e em elas estão enterrando: a Basic Kelly!",1
"essa direitalha é foda ne? nuaguenta um bullying corretivo e te bloqueia, assim, so pq é frouxa; ou bot, né madame @celia_cristrj?",1
@jovemdoug_ nem eu jkkkkkkkkkkk sofria bullying nessa época aí,1
A @barbaraaaaaaalf faz me bullying e niguem acredita em mim 🙄,1
@juuhmartorelli @aleatoryxpics Aí que bullying kkkkkkk,1
@Luanzim Isso dae é bullying o nome,1
"@Ju_dosReisf @craiskc No fundamental, eu era a criança hiperativa que encontrava na ed fis uma válvula de escape pra me soltar
O fato de ter sofrido bullying e ter sido sempre o último a ser escolhido/único a ficar de fora me deixava muito péssimo a ponto de me fazer odiar essa matéria até hoje",1
@winsvante olha o bullying com a minha bundinha–,1
@Joana_Mestre99 @MestreSpj @Catarina_130 Eu é que levei bullying nisto! Mas ta-se bem,1
@MestreSpj @David_Adgc @Catarina_130 Obg pelo bullying ja me baixaram a auto estima o suficiente podem parar? Ou..?🤷🏽‍♀️,1
@chupameunabo Eu acho que está rolando um bullying aí,1
Antes de ser army eu fui potterhead. Sofri muito bullying na escola durante toda minha infância e parte da adolescência e o mundo q a J. K. Rowling criou foi meu refúgio todos esses anos. #HappyBirthdayHarryPotter e #HappyBirthdayJKRowling e obrigada! 💜,1
@karendurlo2 Vcs fazem bullying comigo dizendo q eu não sou da panelinha ):,1
"@adrielletx Kkkkkk bullying q eu digo, zoar por essa vergonha q vcs fizeram",1
"@thxrosx pau no cu de quem te fez bullying

essa raça de babaca precisava tudo morrer",1
@vmmesquita00 😂😂😂 olha ai o bullying mana,1
@daniviandelli no meu caso eu sofro bullying por ter estudado lá,1
"a katie mcgrath 🧙‍♀️
SABE 🧐
que o fandom dela 🐸
faz bullying 👊
com karamel fan 🍼
e não faz nada 💅
pra defender...nosso ship...branco hetero.....=/",1
"19- eu tinha crush em um menino e ele me tratava mal e fazia bullying comigo até que uma vez eu cuspi leite na cara dele, não me arrependo",1
@aphelisax Nossa olha o bullying,1
RT @twicescene: @nonesready enquanto a gente espera a próxima att a gente faz bullying com a natalia 🤠🤠,1
15- já sofri bullying por causa do meu peso,1
"@Lorelay_Fox Noção não teve, mas não acho que foi maldade. 
Já as @'s hitando em cima de bullying virtual com adolescente...",1
RT @YuriFFC7: Isco fazendo bullying com Hazard KKKKKKKKKKKK,1
o bullying que o bernardes faz comigo é absurdo,1
porra o cardan é um filho da putaaaaaa mds q odio desse macho fznd bullying com a jude,1
"@jjkispoetry Reclama na direção da sua escola e qualquer coisa fala pros seus pais ou pra escola que vai acionar o conselho tutelar hehe, eu sofri bullying por MUITOS anos, só parei no 9º quando a vice diretora disse pros insuportáveis que se não parassem ela ia chamar o conselho tutelar",1
"@Viniccinhu alá bullying com a amiga grandona ):
ITIIIIII, vini conta comigo pra tudo caralhum &lt;3",1
"@lorissarainey Trabalho em T. I., que é um ambiente bem tóxico na média. Nesse lugar especificamente era um hábito comum esse ""bullying"" geral, meu supervisor costumava falar, ""é só chorar que a gente para"". Um dia ela foi promovido pra gerente da área e ficou todo ""O Gerente"" pra cá e pra lá +",1
"a nana me falando pra fazer franja 

KKKKKKKKKKKKKKKKK aí nana... só quem lembra do bullying sabe",1
@cabellxkcc cansada de sofrer bullying 👉🏾😭,1
@anacrmont @raquelcrf_ Vcs estão praticando bullying,1
@imzeferino @claricabrall eu não tenho vergonha só não quero ser vítima de bullying tbm heheheheh eu amo meus amigos da lufa lufa 💛,1
@quasemiss Vim do Paraná pra cá sofrer bullying dos catarinenses,1
@carolinaswear ela não tem saudades de pessoas q lhe fazem bullying por ter uns quilinhos a mais,1
O Hugo faz me bullying,1
irritar e praticar bullying com o anbu = tudo para mim,1
@bodakswift @lover_tayy @lovwato_ @siteptbr mo= verdade dela é diferente da nossa. Vcs que queriam q ela defendesse a tay sendo q o ponto dela n foi sobre os álbuns e sim em relação ao bullying com o amigo dela (o jeito q ela vê ele n me diz respeito),1
"""quando acabar a escola, você irá sentir falta""

vai se foder meu!!! quem sente falta de sofrer bullying? tnc",1
"@danipsantoos Não, só para dizer que vou sofrer a puta de um bullying que nem vai ser brincadeira",1
@mashihog1rl é meu nome para de bullying,1
@Correa_Vincius @ovaisefode o bullying que eu sofro é lindo 🥺,1
"RT @UMerdaAleatorio: @ellenbeatrizss o bullying que a minha melhor amiga faz comigo, é surreal",1
@vtomarques2 Para @Tayloneoq fica fazendo bullying com Vitão,1
"Na terapia, consegui entender que parte da origem da minha depressão tem a ver com bullying que sofri na escola e no bairro onde eu morava. Outra parte tem relação com ser um adolescente gay que não tinha vida afetiva por ser gordo. A relação é direta.",1
"@rxcnha sei que não sofri metade do que aquela galera q era zoada sofreu, talvez pelo meu círculo social. mas no dia a dia era nítido quem sofria bullying ou algo do tipo, e realmente, os funcionários fingiam q nem viam, pq tem vários p espionar nossa meia, nossas unhas, a cor do tênis,+",1
@flwvomalhar @LucasWeisheimer @gifsdegatinhos @sr_k_ @EuAmoGatineos @capitaliq1 ta fazendo bullying aqui comigo ó,1
"@zenasciment0 @nanamelon Eu quis dar um alívio no bullying, mim deixa, José",1
"gente anauê faz bullying comigo 
vamo derrubar a conta dela",1
@camilations olha o bullying....,1
@migueln13678084 Já até acostumei com o bullying desse Miguel viu,1
@hwnglips @lgbtminsung eric para de fazer bullying com o esquilo HSNEJSKEKD,1
Como será q vou sofrer bullying do Alexandre amanhã,1
"@dllisf Mas e o psicológico da criança? Isso desencadeia tanta coisa... Eu só consigo imaginar que as crianças que praticam bullying com ele, são reflexo dos pais, porque sinceramente, crianças não nascem preconceituosas, se tornam com o que aprendem.",1
@PcGuimaraes Ó o bullying,1
@eae_douglas coitado nasceu agora e já sofre bullying kkkk,1
"@kfsmiranda Se já tem cara de biscoito 😂😂😂
Corta esse cabelo só vai facilitar 
O bullying 💁🏽‍♂️💁🏽‍♂️",1
Eu n posso dar 1 gotícula de suor no muay thai que todos gritam OLHA O SALGADO DE UM REAL SAINDO sinceramente eu mesma promovi meu bullying,1
RT @bohzmian: aí estão as provas de que eu sofro bullying,1
Sofro bullying até do meu primo de 7 anos: vc vai casar magrela assim?,1
"minha mãe tá fazendo bullying cmg, ela disse “anota aí na tua testa que é grande pra não esquece”",1
"Fiquei apaixonada por aquele universo mágico, e ele virou meu porto seguro. u passava por muito bullying na época, e poder voltar para casa, para aqueles personagens que me entendiam e viviam nesse mundo de magia me ajudou demais a lidar com tudo",1
Sofro bullying com minha altura,1
RT @sarabraaitt: Queria tanto uma irmã mais nova pra eu fazer bullying e ensinar coisa errada,1
"pumba: eU N VOU DEIXAR VCS FAZEREM BULLYING

eu pra polyana: mano o pumba é valtenir versão animal",1
"Hoje é um dos dias mais importantes da minha vida, descobri minha função nesse plano, o numero de mensagens de meninas q perderam a visao e sofrem com aceitação e bullying é bizarro, espero conseguir ajudar todo mundo.",1
isso eh bullying claramente,1
"Sofri bullying e isso mexeu mt cmg. Passei anos me martirizando, aquelas pessoas não sabem o quanto me machucaram. Fiz mts coisas cmg e ninguém sabe.Não consigo me achar bonita, nem me livrar desse negócio que eu uso, que as vezes me aperta me deixa sem ar, mas ainda uso.
💔",1
"Tô sofrendo bullying pq achava q no Tocantins tinha mar, VEY kkkkkkkkkkkkkkkkkk",1
"Mais uma briga com a minha mãe. Motivo: ela afirma que não existe bullying em ambiente escolar

Que mulher tóxica mdsss",1
Eu to sofrendo bullying por estar com pescoço marcado,1
"esqueci de comentar aqui, q no meu sonho de hoje eu fazia parte dos Vingadores, mas eu estava corrompendo eles e conspirando pra fazer eles fazerem o q eu quisesse

Que era voltar no tempo e MATAR tds os valentão q faziam bullying comigo na época de escola kkkkkkkk",1
"Já fui demitida porque revindiquei o 13° de todos os professores de uma escola particular e também por ter defendido um aluno que sofria bullying, inclusive da coordenadora. Tudo na mesma escola lixo.",1
eu e a @caambro_ eramos mt malvadas com 8 anos e a gente fez bullying com uma menina q tinha um caderno do justin bieber,1
"Eu sempre amei a Tina. Uso óculos desde os 5 anos de idade, e sofria muito bullying por isso. Era muito legal ter uma referencia de personagem que usava óculos e era a menina mais legal e popular da turma.",1
Já sofreste bullying???😔😔,1
mano eu sofro muito bullying,1
"como se isso fosse algo negativo, na minha escola fazem muito bullying com quem se opõe à esse estilo (de corpo e de música, porque muitos meninos se sentem pressionados em relação ao corpo também). Eu escuto kpop e claramente eu sofro algum tipo de bullying, a partir do momento",1
Agora tô na expectativa do meu cabelo crescer pelo menos um pouco até segunda pra eu n sofrer bullying,1
Sofrendo bullying das velhinhas,1
"Pronto army não pode falar que não gosta de tal grupo, oq acha quem alguém é ruim em tal coisa que é bullying e não segue a campanha 

Ser desnecessário é uma coisa fazer bullying é outra 
Tipo quando fizeram twts em MASSA falando horrores pq o bb se chama Cassandra Namjoon",1
"As vezes eu paro, leio minha bio no Twitter e penso:
Meu Deus do céu, garoto, tu é muito nerd. Por isso que sofria bullying!",1
olha o bullying,1
"eu odeio usar óculos puramente por estética, porque eu tenho que usar desde a infância mas eu sofria bullying então peguei aversão ao óculos 

acho que com 24 anos vai ficar tudo bem",1
estou sofrendo bullying nesse site,1
"Desisto do meu time, eles fazem bullying comigo pq eu sou baiano.",1
Só queria informar vos que o @Arribaaa_5 faz me bullying.,1
"RT @itsheynabro: ""quando acabar a escola, você irá sentir falta""

vai se foder meu!!! quem sente falta de sofrer bullying? tnc",1
"Triste, Luna chamou a amiguinha da creche de gordinha. Nunca tive uma conversa tão séria com ela sobre como o bullying é feio e machuca alguém",1
"BB voltou pra casa, ta meio grogue e sofrendo bullying do restante dos animais dessa casa.",1
AHHHHHHHH @fran_santos2704 andam a fazer bullying a tua cota,1
@thatacasstro Me ensine a ficar gorda assim pfv,1
"pq diabos o pessoal que estudava comigo antes, eram homofóbicos e faziam bullying tão pedindo pra me seguir no instagram?????? quero chorar a",1
Gente ela fica fznd bullying cmg usando minhas figurinhas 🥺,1
meu gato nem chegou e já ta sofrendo bullying,1
"pf amigos parem de fazer bullying
já basta os próprios alunos do Mackenzie zuando o curso de direito",1
"Eu desmaiando o ensino médio inteiro e indo pro hospital toda semana achando q era labirintite quando era os meus colapsos por causa de um momento de sindrome de pânico, ansiedade e começo de depressão acusados pelo bullying terrível q eu sofria",1
"Sofri um bullying da Bernadino e do João Paulo , sobre minha bike que mdss kkkk ""tem que por buzina kkkk""",1
Te amo passinho de átomo — Eu também te amoo ❤❤ mas olha ai o Bullying presente sksjs,1
Essa garota fazia bullying comigo por que ela me achava feia.. agora adivinha?? Ela ta feia igual🤪,1
"O BABACA FEZ BULLYING COMIGO O ENSINO FUNDAMENTAL TODO, E AGORA ME MANDA SOLICITAÇÃO DE AMIZADE NO FB? AAAAAAH VAI TOMA NO CU. ESCROTO DO CARALHO.",1
kkkkkkkk o bullying com a minha bias galera!!!!! tadinha ahhhhhhh,1
"sofri bullying hoje no senai por ter dormido e por não enxergar nada o dia todo, grande dia",1
"Entro um menino novo na 302 , tadinho vai sofrer bullying kkkkkkkkkkkkk",1
RT @ritilasmorales: EU SOFRO BULLYING,1
Meu advogado fazendo bullying com minha ft da carteira de trabalho kkkkkkkkkkkkkk,1
"Fico imaginando o quão duro deve ser para os agressores que fizeram bullying comigo no colégio verem as minhas fotos hoje em dia e se notarem que eu virei um mulherão do caramba. @ Deus,obrigada por me honrar hahaha o senhor é um pai incrível,te amo.",1
"comecei a chorar pensando no meu sofrendo bullying na escola e não me dizendo nada, aí fui pesquisar como uma mãe nota os sinais que o filho ta sofrendo bullying e agora tô mais calma",1
"Esse bullying não é legal ok

[31/07/2019 19:50:48] Âme soeur 💛🌻: Você cresceu tudo que tinha pra crescer dentro do útero vida?",1
no ensino medio eu sofria bullying por acreditar em telepatia,1
"krl,o bullying ta pesado em cima desse mlk",1
"RT @jaureglazerr: sem falar no bullying fodido que acontece lá,todo mundo enfia o amor ao próximo no cu",1
"RT @RedeTV: ➡️ Geisy Arruda relembra bullying ao usar vestido rosa: ""Me culparam""
 _ 
📺 #Olga, às 12h",1
Sofrendo bullying da própria irmã tá fodah,1
